Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28021 Berrueco, El	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28020 Berzosa del Lozoya	De 65 a 69 años	1 de enero de 2022	23
Total	28 Madrid	28020 Berzosa del Lozoya	De 70 a 74 años  	1 de enero de 2022	9
Total	28 Madrid	28020 Berzosa del Lozoya	De 75 a 79 años  	1 de enero de 2022	10
Total	28 Madrid	28020 Berzosa del Lozoya	De 80 a 84 años  	1 de enero de 2022	7
Total	28 Madrid	28020 Berzosa del Lozoya	De 85 a 89 años  	1 de enero de 2022	2
Total	28 Madrid	28020 Berzosa del Lozoya	De 90 a 94 años  	1 de enero de 2022	6
Total	28 Madrid	28020 Berzosa del Lozoya	De 95 a 99 años  	1 de enero de 2022	5
Total	28 Madrid	28020 Berzosa del Lozoya	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28022 Boadilla del Monte	De 65 a 69 años	1 de enero de 2022	1.879
Total	28 Madrid	28022 Boadilla del Monte	De 70 a 74 años  	1 de enero de 2022	1.845
Total	28 Madrid	28022 Boadilla del Monte	De 75 a 79 años  	1 de enero de 2022	1.450
Total	28 Madrid	28022 Boadilla del Monte	De 80 a 84 años  	1 de enero de 2022	856
Total	28 Madrid	28022 Boadilla del Monte	De 85 a 89 años  	1 de enero de 2022	580
Total	28 Madrid	28022 Boadilla del Monte	De 90 a 94 años  	1 de enero de 2022	290
Total	28 Madrid	28022 Boadilla del Monte	De 95 a 99 años  	1 de enero de 2022	85
Total	28 Madrid	28022 Boadilla del Monte	100 y más años	1 de enero de 2022	11
Total	28 Madrid	28023 Boalo, El	De 65 a 69 años	1 de enero de 2022	312
Total	28 Madrid	28023 Boalo, El	De 70 a 74 años  	1 de enero de 2022	247
Total	28 Madrid	28023 Boalo, El	De 75 a 79 años  	1 de enero de 2022	218
Total	28 Madrid	28023 Boalo, El	De 80 a 84 años  	1 de enero de 2022	110
Total	28 Madrid	28023 Boalo, El	De 85 a 89 años  	1 de enero de 2022	76
Total	28 Madrid	28023 Boalo, El	De 90 a 94 años  	1 de enero de 2022	37
Total	28 Madrid	28023 Boalo, El	De 95 a 99 años  	1 de enero de 2022	10
Total	28 Madrid	28023 Boalo, El	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28024 Braojos	De 65 a 69 años	1 de enero de 2022	10
Total	28 Madrid	28024 Braojos	De 70 a 74 años  	1 de enero de 2022	10
Total	28 Madrid	28024 Braojos	De 75 a 79 años  	1 de enero de 2022	7
Total	28 Madrid	28024 Braojos	De 80 a 84 años  	1 de enero de 2022	5
Total	28 Madrid	28024 Braojos	De 85 a 89 años  	1 de enero de 2022	7
Total	28 Madrid	28024 Braojos	De 90 a 94 años  	1 de enero de 2022	4
Total	28 Madrid	28024 Braojos	De 95 a 99 años  	1 de enero de 2022	0
Total	28 Madrid	28024 Braojos	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28025 Brea de Tajo	De 65 a 69 años	1 de enero de 2022	42
Total	28 Madrid	28025 Brea de Tajo	De 70 a 74 años  	1 de enero de 2022	28
Total	28 Madrid	28025 Brea de Tajo	De 75 a 79 años  	1 de enero de 2022	35
Total	28 Madrid	28025 Brea de Tajo	De 80 a 84 años  	1 de enero de 2022	22
